param w :=
    307 3 1.0
    308 1 0.0
    308 2 0.0
    308 3 1.0
    309 1 0.0
    309 2 0.0
    309 3 3.0
    310 1 0.0
    310 2 0.0
    310 3 2.0
    311 1 0.0
    311 2 0.0
    311 3 1.0
    312 1 0.0
    312 2 0.0
    312 3 1.0
    313 1 0.0
    313 2 0.0
    313 3 3.0
    314 1 0.0
    314 2 0.0
    314 3 6.0
    315 1 0.0
    315 2 0.0
    315 3 6.0
    316 1 0.0
    316 2 0.0
    316 3 1.0
    317 1 0.0
    317 2 0.0
    317 3 1.0
    318 1 0.0
    318 2 0.0
    318 3 2.0
    319 1 0.0
    319 2 0.0
    319 3 5.0
    320 1 0.0
    320 2 0.0
    320 3 3.0
    321 1 0.0
    321 2 0.0
    321 3 2.0
    322 1 0.0
    322 2 0.0
    322 3 1.0
    323 1 0.0
    323 2 0.0
    323 3 1.0
    324 1 0.0
    324 2 0.0
    324 3 4.0
    325 1 0.0
    325 2 0.0
    325 3 3.0
    326 1 0.0
    326 2 0.0
    326 3 6.0
    327 1 0.0
    327 2 0.0
    327 3 2.0
    328 1 0.0
    328 2 0.0
    328 3 7.0
    329 1 0.0
    329 2 0.0
    329 3 12.0
    330 1 0.0
    330 2 0.0
    330 3 1.0
    331 1 0.0
    331 2 0.0
    331 3 1.0
    332 1 0.0
    332 2 0.0
    332 3 10.0
    333 1 0.0
    333 2 0.0
    333 3 3.0
    334 1 0.0
    334 2 0.0
    334 3 11.0
    335 1 0.0
    335 2 0.0
    335 3 3.0
;
param inner :=
    1 1 1.0
    1 2 1.0
    1 3 1.0
    2 1 1.0
    2 2 1.0
    2 3 1.0
    3 1 1.0
    3 2 1.0
    3 3 1.0
    4 1 1.0
    4 2 1.0
    4 3 1.0
    5 1 1.0
    5 2 1.0
    5 3 1.0
    6 1 1.0
    6 2 1.0
    6 3 1.0
    7 1 1.0
    7 2 1.0
    7 3 1.0
    8 1 1.0
    8 2 1.0
    8 3 1.0
    9 1 1.0
    9 2 1.0
    9 3 1.0
    10 1 1.0
    10 2 1.0
    10 3 1.0
    11 1 1.0
    11 2 1.0
    11 3 1.0
    12 1 1.0
    12 2 1.0
    12 3 1.0
    13 1 1.0
    13 2 1.0
    13 3 1.0
    14 1 1.0
    14 2 1.0
    14 3 1.0
    15 1 1.0
    15 2 1.0
    15 3 1.0
    16 1 1.0
    16 2 1.0
    16 3 1.0
    17 1 1.0
    17 2 1.0
    17 3 1.0
    18 1 1.0
    18 2 1.0
    18 3 1.0
    19 1 1.0
    19 2 1.0
    19 3 1.0
    20 1 1.0
    20 2 1.0
    20 3 1.0
    21 1 1.0
    21 2 1.0
    21 3 1.0
    22 1 1.0
    22 2 1.0
    22 3 1.0
    23 1 1.0
    23 2 1.0
    23 3 1.0
    24 1 1.0
    24 2 1.0
    24 3 1.0
    25 1 1.0
    25 2 1.0
    25 3 1.0
    26 1 1.0
    26 2 1.0
    26 3 1.0
    27 1 1.0
    27 2 1.0
    27 3 1.0
    28 1 1.0
    28 2 1.0
    28 3 1.0
    29 1 1.0
    29 2 1.0
    29 3 1.0
    30 1 1.0
    30 2 1.0
    30 3 1.0
    31 1 1.0
    31 2 1.0
    31 3 1.0
    32 1 1.0
    32 2 1.0
    32 3 1.0
    33 1 1.0
    33 2 1.0
    33 3 1.0
    34 1 1.0
    34 2 1.0
    34 3 1.0
    35 1 1.0
    35 2 1.0
    35 3 1.0
    36 1 1.0
    36 2 1.0
    36 3 1.0
    37 1 1.0
    37 2 1.0
    37 3 1.0
    38 1 1.0
    38 2 1.0
    38 3 1.0
    39 1 1.0
    39 2 1.0
    39 3 1.0
    40 1 1.0
    40 2 1.0
    40 3 1.0
    41 1 1.0
    41 2 1.0
    41 3 1.0
    42 1 1.0
    42 2 1.0
    42 3 1.0
    43 1 1.0
    43 2 1.0
    43 3 1.0
    44 1 1.0
    44 2 1.0
    44 3 1.0
    45 1 1.0
    45 2 1.0
    45 3 1.0
    46 1 1.0
    46 2 1.0
    46 3 1.0
    47 1 1.0
    47 2 1.0
    47 3 1.0
    48 1 1.0
    48 2 1.0
    48 3 1.0
    49 1 1.0
    49 2 1.0
    49 3 1.0
    50 1 1.0
    50 2 1.0
    50 3 1.0
    51 1 1.0
    51 2 1.0
    51 3 1.0
    52 1 1.0
    52 2 1.0
    52 3 1.0
    53 1 1.0
    53 2 1.0
    53 3 1.0
    54 1 1.0
    54 2 1.0
    54 3 1.0
    55 1 1.0
    55 2 1.0
    55 3 1.0
    56 1 1.0
    56 2 1.0
    56 3 1.0
    57 1 1.0
    57 2 1.0
    57 3 1.0
    58 1 1.0
    58 2 1.0
    58 3 1.0
    59 1 1.0
    59 2 1.0
    59 3 1.0
    60 1 1.0
    60 2 1.0
    60 3 1.0
    61 1 1.0
    61 2 1.0
    61 3 1.0
    62 1 1.0
    62 2 1.0
    62 3 1.0
    63 1 1.0
    63 2 1.0
    63 3 1.0
    64 1 1.0
    64 2 1.0
    64 3 1.0
    65 1 1.0
    65 2 1.0
    65 3 1.0
    66 1 1.0
    66 2 1.0
    66 3 1.0
    67 1 1.0
    67 2 1.0
    67 3 1.0
    68 1 1.0
    68 2 1.0
    68 3 1.0
    69 1 1.0
    69 2 1.0
    69 3 1.0
    70 1 1.0
    70 2 1.0
    70 3 1.0
    71 1 1.0
    71 2 1.0
    71 3 1.0
    72 1 1.0
    72 2 1.0
    72 3 1.0
    73 1 1.0
    73 2 1.0
    73 3 1.0
    74 1 1.0
    74 2 1.0
    74 3 1.0
    75 1 1.0
    75 2 1.0
    75 3 1.0
    76 1 1.0
    76 2 1.0
    76 3 1.0
    77 1 1.0
    77 2 1.0
    77 3 1.0
    78 1 1.0
    78 2 1.0
    78 3 1.0
    79 1 1.0
    79 2 1.0
    79 3 1.0
    80 1 1.0
    80 2 1.0
    80 3 1.0
    81 1 1.0
    81 2 1.0
    81 3 1.0
    82 1 1.0
    82 2 1.0
    82 3 1.0
    83 1 1.0
    83 2 1.0
    83 3 1.0
    84 1 1.0
    84 2 1.0
    84 3 1.0
    85 1 1.0
    85 2 1.0
    85 3 1.0
    86 1 1.0
    86 2 1.0
    86 3 1.0
    87 1 1.0
    87 2 1.0
    87 3 1.0
    88 1 1.0
    88 2 1.0
    88 3 1.0
    89 1 1.0
    89 2 1.0
    89 3 1.0
    90 1 1.0
    90 2 1.0
    90 3 1.0
    91 1 1.0
    91 2 1.0
    91 3 1.0
    92 1 1.0
    92 2 1.0
    92 3 1.0
    93 1 1.0
    93 2 1.0
    93 3 1.0
    94 1 1.0
    94 2 1.0
    94 3 1.0
    95 1 1.0
    95 2 1.0
    95 3 1.0
    96 1 1.0
    96 2 1.0
    96 3 1.0
    97 1 1.0
    97 2 1.0
    97 3 1.0
    98 1 1.0
    98 2 1.0
    98 3 1.0
    99 1 1.0
    99 2 1.0
    99 3 1.0
    100 1 1.0
    100 2 1.0
    100 3 1.0
    101 1 1.0
    101 2 1.0
    101 3 1.0
    102 1 1.0
    102 2 1.0
    102 3 1.0
    103 1 1.0
    103 2 1.0
    103 3 1.0
    104 1 1.0
    104 2 1.0
    104 3 1.0
    105 1 1.0
    105 2 1.0
    105 3 1.0
    106 1 1.0
    106 2 1.0
    106 3 1.0
    107 1 1.0
    107 2 1.0
    107 3 1.0
    108 1 1.0
    108 2 1.0
    108 3 1.0
    109 1 1.0
    109 2 1.0
    109 3 1.0
    110 1 1.0
    110 2 1.0
    110 3 1.0
    111 1 1.0
    111 2 1.0
    111 3 1.0
    112 1 1.0
    112 2 1.0
    112 3 1.0
    113 1 1.0
    113 2 1.0
    113 3 1.0
    114 1 1.0
    114 2 1.0
    114 3 1.0
    115 1 1.0
    115 2 1.0
    115 3 1.0
    116 1 1.0
    116 2 1.0
    116 3 1.0
    117 1 1.0
    117 2 1.0
    117 3 1.0
    118 1 1.0
    118 2 1.0
    118 3 1.0
    119 1 1.0
    119 2 1.0
    119 3 1.0
    120 1 1.0
    120 2 1.0
    120 3 1.0
    121 1 1.0
    121 2 1.0
    121 3 1.0
    122 1 1.0
    122 2 1.0
    122 3 1.0
    123 1 1.0
    123 2 1.0
    123 3 1.0
    124 1 1.0
    124 2 1.0
    124 3 1.0
    125 1 1.0
    125 2 1.0
    125 3 1.0
    126 1 1.0
    126 2 1.0
    126 3 1.0
    127 1 1.0
    127 2 1.0
    127 3 1.0
    128 1 1.0
    128 2 1.0
    128 3 1.0
    129 1 1.0
    129 2 1.0
    129 3 1.0
    130 1 1.0
    130 2 1.0
    130 3 1.0
    131 1 1.0
    131 2 1.0
    131 3 1.0
    132 1 1.0
    132 2 1.0
    132 3 1.0
    133 1 1.0
    133 2 1.0
    133 3 1.0
    134 1 1.0
    134 2 1.0
    134 3 1.0
    135 1 1.0
    135 2 1.0
    135 3 1.0
    136 1 1.0
    136 2 1.0
    136 3 1.0
    137 1 1.0
    137 2 1.0
    137 3 1.0
    138 1 1.0
    138 2 1.0
    138 3 1.0
    139 1 1.0
    139 2 1.0
    139 3 1.0
    140 1 1.0
    140 2 1.0
    140 3 1.0
    141 1 1.0
    141 2 1.0
    141 3 1.0
    142 1 1.0
    142 2 1.0
    142 3 1.0
    143 1 1.0
    143 2 1.0
    143 3 1.0
    144 1 1.0
    144 2 1.0
    144 3 1.0
    145 1 1.0
    145 2 1.0
    145 3 1.0
    146 1 1.0
    146 2 1.0
    146 3 1.0
    147 1 1.0
    147 2 1.0
    147 3 1.0
    148 1 1.0
    148 2 1.0
    148 3 1.0
    149 1 1.0
    149 2 1.0
    149 3 1.0
    150 1 1.0
    150 2 1.0
    150 3 1.0
    151 1 1.0
    151 2 1.0
    151 3 1.0
    152 1 1.0
    152 2 1.0
    152 3 1.0
    153 1 1.0
    153 2 1.0
    153 3 1.0
    154 1 1.0
    154 2 1.0
    154 3 1.0
    155 1 1.0
    155 2 1.0
    155 3 1.0
    156 1 1.0
    156 2 1.0
    156 3 1.0
    157 1 1.0
    157 2 1.0
    157 3 1.0
    158 1 1.0
    158 2 1.0
    158 3 1.0
    159 1 1.0
    159 2 1.0
    159 3 1.0
    160 1 1.0
    160 2 1.0
    160 3 1.0
    161 1 1.0
    161 2 1.0
    161 3 1.0
    162 1 1.0
    162 2 1.0
    162 3 1.0
    163 1 1.0
    163 2 1.0
    163 3 1.0
    164 1 1.0
    164 2 1.0
    164 3 1.0
    165 1 1.0
    165 2 1.0
    165 3 1.0
    166 1 1.0
    166 2 1.0
    166 3 1.0
    167 1 1.0
    167 2 1.0
    167 3 1.0
    168 1 1.0
    168 2 1.0
    168 3 1.0
    169 1 1.0
    169 2 1.0
    169 3 1.0
    170 1 1.0
    170 2 1.0
    170 3 1.0
    171 1 1.0
    171 2 1.0
    171 3 1.0
    172 1 1.0
    172 2 1.0
    172 3 1.0
    173 1 1.0
    173 2 1.0
    173 3 1.0
    174 1 1.0
    174 2 1.0
    174 3 1.0
    175 1 1.0
    175 2 1.0
    175 3 1.0
    176 1 1.0
    176 2 1.0
    176 3 1.0
    177 1 1.0
    177 2 1.0
    177 3 1.0
    178 1 1.0
    178 2 1.0
    178 3 1.0
    179 1 1.0
    179 2 1.0
    179 3 1.0
    180 1 1.0
    180 2 1.0
    180 3 1.0
    181 1 1.0
    181 2 1.0
    181 3 1.0
    182 1 1.0
    182 2 1.0
    182 3 1.0
    183 1 1.0
    183 2 1.0
    183 3 1.0
    184 1 1.0
    184 2 1.0
    184 3 1.0
    185 1 1.0
    185 2 1.0
    185 3 1.0
    186 1 1.0
    186 2 1.0
    186 3 1.0
    187 1 1.0
    187 2 1.0
    187 3 1.0
    188 1 1.0
    188 2 1.0
    188 3 1.0
    189 1 1.0
    189 2 1.0
    189 3 1.0
    190 1 1.0
    190 2 1.0
    190 3 1.0
    191 1 1.0
    191 2 1.0
    191 3 1.0
    192 1 1.0
    192 2 1.0
    192 3 1.0
    193 1 1.0
    193 2 1.0
    193 3 1.0
    194 1 1.0
    194 2 1.0
    194 3 1.0
    195 1 1.0
    195 2 1.0
    195 3 1.0
    196 1 1.0
    196 2 1.0
    196 3 1.0
    197 1 1.0
    197 2 1.0
    197 3 1.0
    198 1 1.0
    198 2 1.0
    198 3 1.0
    199 1 1.0
    199 2 1.0
    199 3 1.0
    200 1 1.0
    200 2 1.0
    200 3 1.0
    201 1 1.0
    201 2 1.0
    201 3 1.0
    202 1 1.0
    202 2 1.0
    202 3 1.0
    203 1 1.0
    203 2 1.0
    203 3 1.0
    204 1 1.0
    204 2 1.0
    204 3 1.0
    205 1 1.0
    205 2 1.0
    205 3 1.0
    206 1 1.0
    206 2 1.0
    206 3 1.0
    207 1 1.0
    207 2 1.0
    207 3 1.0
    208 1 1.0
    208 2 1.0
    208 3 1.0
    209 1 1.0
    209 2 1.0
    209 3 1.0
    210 1 1.0
    210 2 1.0
    210 3 1.0
    211 1 1.0
    211 2 1.0
    211 3 1.0
    212 1 1.0
    212 2 1.0
    212 3 1.0
    213 1 1.0
    213 2 1.0
    213 3 1.0
    214 1 1.0
    214 2 1.0
    214 3 1.0
    215 1 1.0
    215 2 1.0
    215 3 1.0
    216 1 1.0
    216 2 1.0
    216 3 1.0
    217 1 1.0
    217 2 1.0
    217 3 1.0
    218 1 1.0
    218 2 1.0
    218 3 1.0
    219 1 1.0
    219 2 1.0
    219 3 1.0
    220 1 1.0
    220 2 1.0
    220 3 1.0
    221 1 1.0
    221 2 1.0
    221 3 1.0
    222 1 1.0
    222 2 1.0
    222 3 1.0
    223 1 0.0
    223 2 1.0
    223 3 1.0
    224 1 0.0
    224 2 1.0
    224 3 1.0
    225 1 0.0
    225 2 1.0
    225 3 1.0
    226 1 0.0
    226 2 1.0
    226 3 1.0
    227 1 0.0
    227 2 1.0
    227 3 1.0
    228 1 0.0
    228 2 1.0
    228 3 1.0
    229 1 0.0
    229 2 1.0
    229 3 1.0
    230 1 0.0
    230 2 1.0
    230 3 1.0
    231 1 0.0
    231 2 1.0
    231 3 1.0
    232 1 0.0
    232 2 1.0
    232 3 1.0
    233 1 0.0
    233 2 1.0
    233 3 1.0
    234 1 0.0
    234 2 1.0
    234 3 1.0
    235 1 0.0
    235 2 1.0
    235 3 1.0
    236 1 0.0
    236 2 1.0
    236 3 1.0
    237 1 0.0
    237 2 1.0
    237 3 1.0
    238 1 0.0
    238 2 1.0
    238 3 1.0
    239 1 0.0
    239 2 1.0
    239 3 1.0
    240 1 0.0
    240 2 1.0
    240 3 1.0
    241 1 0.0
    241 2 0.0
    241 3 1.0
    242 1 0.0
    242 2 0.0
    242 3 1.0
    243 1 0.0
    243 2 0.0
    243 3 1.0
    244 1 0.0
    244 2 0.0
    244 3 1.0
    245 1 0.0
    245 2 0.0
    245 3 1.0
    246 1 0.0
    246 2 0.0
    246 3 1.0
    247 1 0.0
    247 2 0.0
    247 3 1.0
    248 1 0.0
    248 2 0.0
    248 3 1.0
    249 1 0.0
    249 2 0.0
    249 3 1.0
    250 1 0.0
    250 2 0.0
    250 3 1.0
    251 1 0.0
    251 2 0.0
    251 3 1.0
    252 1 0.0
    252 2 0.0
    252 3 1.0
    253 1 0.0
    253 2 0.0
    253 3 1.0
    254 1 0.0
    254 2 0.0
    254 3 1.0
    255 1 0.0
    255 2 0.0
    255 3 1.0
    256 1 0.0
    256 2 0.0
    256 3 1.0
    257 1 0.0
    257 2 0.0
    257 3 1.0
    258 1 0.0
    258 2 0.0
    258 3 1.0
    259 1 0.0
    259 2 0.0
    259 3 1.0
    260 1 0.0
    260 2 0.0
    260 3 1.0
    261 1 0.0
    261 2 0.0
    261 3 1.0
    262 1 0.0
    262 2 0.0
    262 3 1.0
    263 1 0.0
    263 2 0.0
    263 3 1.0
    264 1 0.0
    264 2 0.0
    264 3 1.0
    265 1 0.0
    265 2 0.0
    265 3 1.0
    266 1 0.0
    266 2 0.0
    266 3 1.0
    267 1 0.0
    267 2 0.0
    267 3 1.0
    268 1 0.0
    268 2 0.0
    268 3 1.0
    269 1 0.0
    269 2 0.0
    269 3 1.0
    270 1 0.0
    270 2 0.0
    270 3 1.0
    271 1 0.0
    271 2 0.0
    271 3 1.0
    272 1 0.0
    272 2 0.0
    272 3 1.0
    273 1 0.0
    273 2 0.0
    273 3 1.0
    274 1 0.0
    274 2 0.0
    274 3 1.0
    275 1 0.0
    275 2 0.0
    275 3 1.0
    276 1 0.0
    276 2 0.0
    276 3 1.0
    277 1 0.0
    277 2 0.0
    277 3 1.0
    278 1 0.0
    278 2 0.0
    278 3 1.0
    279 1 0.0
    279 2 0.0
    279 3 1.0
    280 1 0.0
    280 2 0.0
    280 3 1.0
    281 1 0.0
    281 2 0.0
    281 3 1.0
    282 1 0.0
    282 2 0.0
    282 3 1.0
    283 1 0.0
    283 2 0.0
    283 3 1.0
    284 1 0.0
    284 2 0.0
    284 3 1.0
    285 1 0.0
    285 2 0.0
    285 3 1.0
    286 1 0.0
    286 2 0.0
    286 3 1.0
    287 1 0.0
    287 2 0.0
    287 3 1.0
    288 1 0.0
    288 2 0.0
    288 3 1.0
    289 1 0.0
    289 2 0.0
    289 3 1.0
    290 1 0.0
    290 2 0.0
    290 3 1.0
    291 1 0.0
    291 2 0.0
    291 3 1.0
    292 1 0.0
    292 2 0.0
    292 3 1.0
    293 1 0.0
    293 2 0.0
    293 3 1.0
    294 1 0.0
    294 2 0.0
    294 3 1.0
    295 1 0.0
    295 2 0.0
    295 3 1.0
    296 1 0.0
    296 2 0.0
    296 3 1.0
    297 1 0.0
    297 2 0.0
    297 3 1.0
    298 1 0.0
    298 2 0.0
    298 3 1.0
    299 1 0.0
    299 2 0.0
    299 3 1.0
    300 1 0.0
    300 2 0.0
    300 3 1.0
    301 1 0.0
    301 2 0.0
    301 3 1.0
    302 1 0.0
    302 2 0.0
    302 3 1.0
    303 1 0.0
    303 2 0.0
    303 3 1.0
    304 1 0.0
    304 2 0.0
    304 3 1.0
    305 1 0.0
    305 2 0.0
    305 3 1.0
    306 1 0.0
    306 2 0.0
    306 3 1.0
    307 1 0.0
    307 2 0.0
    307 3 1.0
    308 1 0.0
    308 2 0.0
    308 3 1.0
    309 1 0.0
    309 2 0.0
    309 3 1.0
    310 1 0.0
    310 2 0.0
    310 3 1.0
    311 1 0.0
    311 2 0.0
    311 3 1.0
    312 1 0.0
    312 2 0.0
    312 3 1.0
    313 1 0.0
    313 2 0.0
    313 3 1.0
    314 1 0.0
    314 2 0.0
    314 3 1.0
    315 1 0.0
    315 2 0.0
    315 3 1.0
    316 1 0.0
    316 2 0.0
    316 3 1.0
    317 1 0.0
    317 2 0.0
    317 3 1.0
    318 1 0.0
    318 2 0.0
    318 3 1.0
    319 1 0.0
    319 2 0.0
    319 3 1.0
    320 1 0.0
    320 2 0.0
    320 3 1.0
    321 1 0.0
    321 2 0.0
    321 3 1.0
    322 1 0.0
    322 2 0.0
    322 3 1.0
    323 1 0.0
    323 2 0.0
    323 3 1.0
    324 1 0.0
    324 2 0.0
    324 3 1.0
    325 1 0.0
    325 2 0.0
    325 3 1.0
    326 1 0.0
    326 2 0.0
    326 3 1.0
    327 1 0.0
    327 2 0.0
    327 3 1.0
    328 1 0.0
    328 2 0.0
    328 3 1.0
    329 1 0.0
    329 2 0.0
    329 3 1.0
    330 1 0.0
    330 2 0.0
    330 3 1.0
    331 1 0.0
    331 2 0.0
    331 3 1.0
    332 1 0.0
    332 2 0.0
    332 3 1.0
    333 1 0.0
    333 2 0.0
    333 3 1.0
    334 1 0.0
    334 2 0.0
    334 3 1.0
    335 1 0.0
    335 2 0.0
    335 3 1.0
;
param cp := 23;
param cv := 75538008.0;
param np := 512;
param n := 335;
param r := 3;
